Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta
Adulto Masculino;Salto Largo;6.62;2024;Nacional Adulto;Marcelo Burgos
Adulto Masculino;Salto Largo;6.37;2024;Nacional Adulto;Hugo Vargas
Adulto Masculino;Salto Garrocha;5.30;2024;Nacional Adulto;Guillermo Correa
Adulto Masculino;Salto Garrocha;5.20;2024;Nacional Adulto;Cristobal Sierraalta
Adulto Masculino;Salto Garrocha;4.90;2024;Nacional Adulto;Pedro Roblero
Adulto Masculino;Salto Garrocha;4.70;2024;Nacional Adulto;Martin Varas
Adulto Masculino;Salto Garrocha;4.50;2024;Nacional Adulto;Julian Artega
Adulto Masculino;Salto Garrocha;4.30;2024;Nacional Adulto;Mateo Cortina
Adulto Masculino;Salto Alto;2.15;2024;Nacional Adulto;Nicolas Numair
Adulto Masculino;Salto Alto;2.15;2024;Nacional Adulto;Pedro Alamos
Adulto Masculino;Salto Alto;1.95;2024;Nacional Adulto;Francisco Moraga
Adulto Masculino;Salto Alto;1.80;2024;Nacional Adulto;Ignacio Tagle
Adulto Femenino;Salto Largo;6.09;2024;Nacional Adulto;Rocio Muñoz
Adulto Femenino;Salto Largo;6.03;2024;Nacional Adulto;Trinidad Hurtado
Adulto Femenino;Salto Largo;6.02;2024;Nacional Adulto;Antonia Crestani
Adulto Femenino;Salto Largo;5.77;2024;Nacional Adulto;Javiera Perez
Adulto Femenino;Salto Largo;5.65;2024;Nacional Adulto;Sofia Segura
Adulto Femenino;Salto Largo;5.22;2024;Nacional Adulto;Camila Sarai
Adulto Femenino;Salto Largo;5.01;2024;Nacional Adulto;Josefa Candia
Adulto Femenino;Salto Garrocha;3.80;2024;Nacional Adulto;Antonia Crestani
Adulto Femenino;Salto Garrocha;3.65;2024;Nacional Adulto;Javiera Contreras
Adulto Femenino;Salto Garrocha;3.35;2024;Nacional Adulto;Javiera Moraga
Adulto Femenino;Salto Garrocha;3.35;2024;Nacional Adulto;Maria Vial
Adulto Femenino;Salto Garrocha;3.35;2024;Nacional Adulto;Camila Velasco
Adulto Femenino;Salto Alto;3.15;2024;Nacional Adulto;Asuncion Dreyfus
Adulto Femenino;Salto Alto;1.70;2024;Nacional Adulto;Nicola Torres
Adulto Femenino;Salto Alto;1.65;2024;Nacional Adulto;Amalia Baboun
Adulto Femenino;Salto Alto;1.65;2024;Nacional Adulto;Antonia merino
Adulto Femenino;Salto Alto;1.65;2024;Nacional Adulto;Martina Kreutzberger
Adulto Femenino;Salto Alto;1.55;2024;Nacional Adulto;Catalina Carcamo
Adulto Femenino;Salto Alto;1.55;2024;Nacional Adulto;Florencia Topasio
Adulto Masculino;Salto Largo;7.34;2025;Nacional Adulto;Vicente Belgeri
Adulto Masculino;Salto Largo;6.98;2025;Nacional Adulto;Diego Bustamante
Adulto Masculino;Salto Largo;6.96;2025;Nacional Adulto;Josef Grohs
Adulto Masculino;Salto Largo;6.92;2025;Nacional Adulto;Daniel Avendaño
Adulto Masculino;Salto Largo;6.69;2025;Nacional Adulto;Gonzalo Mena
Adulto Masculino;Salto Largo;6.58;2025;Nacional Adulto;Andrés Silva
Adulto Masculino;Salto Largo;6.43;2025;Nacional Adulto;Cristóbal Alonso
Adulto Masculino;Salto Largo;5.00;2025;Nacional Adulto;Matías Silva
Adulto Masculino;Salto Garrocha;5.00;2025;Nacional Adulto;Guillermo Correa
Adulto Masculino;Salto Garrocha;5.00;2025;Nacional Adulto;Pedro Roblero
Adulto Masculino;Salto Garrocha;4.40;2025;Nacional Adulto;Martin Varas
Adulto Masculino;Salto Garrocha;4.40;2025;Nacional Adulto;Nicolas Martin
Adulto Masculino;Salto Garrocha;4.20;2025;Nacional Adulto;Jaime Wood
Adulto Masculino;Salto Garrocha;4.20;2025;Nacional Adulto;Martin Santana
Adulto Masculino;Salto Garrocha;2.20;2025;Nacional Adulto;Mateo Colina
Adulto Masculino;Salto Alto;2.10;2025;Nacional Adulto;Cristóbal Sahurie
Adulto Masculino;Salto Alto;2.05;2025;Nacional Adulto;Pedro Alamos
Adulto Masculino;Salto Alto;2.00;2025;Nacional Adulto;Francisco Moraga
Adulto Masculino;Salto Alto;1.95;2025;Nacional Adulto;Ignacio Tagle
Adulto Masculino;Salto Alto;1.90;2025;Nacional Adulto;Julian Artega
Adulto Masculino;Salto Alto;1.85;2025;Nacional Adulto;Jan Schurch
Adulto Femenino;Salto Largo;6.15;2025;Nacional Adulto;Rocio Muñoz
Adulto Femenino;Salto Largo;5.55;2025;Nacional Adulto;Javiera Perez
Adulto Femenino;Salto Largo;5.39;2025;Nacional Adulto;Magdalena Hudson
Adulto Femenino;Salto Garrocha;3.90;2025;Nacional Adulto;Antonia Crestani
Adulto Femenino;Salto Garrocha;3.70;2025;Nacional Adulto;Javiera Contreras
Adulto Femenino;Salto Garrocha;3.70;2025;Nacional Adulto;Javiera Moraga
Adulto Femenino;Salto Garrocha;3.50;2025;Nacional Adulto;Trinidad Matte
Adulto Femenino;Salto Garrocha;3.20;2025;Nacional Adulto;Asuncion Dreyfus
Adulto Femenino;Salto Alto;1.70;2025;Nacional Adulto;Monica Montero
Adulto Femenino;Salto Alto;1.65;2025;Nacional Adulto;Amalio Baboun
