Categoría;Prueba;Marca;Año;Competencia;Nombre Atleta
Adulto Masculino;Lanzamiento de bala;11.20 metros;2024;Nacional Adulto;Javier Morales
Adulto Masculino;Lanzamiento de disco;63.53 metros;2024;Nacional Adulto;Claudio Romero
Adulto Masculino;Lanzamiento de disco;62.00 metros;2024;Nacional Adulto;Lucas Nervi
Adulto Masculino;Lanzamiento de disco;54.83 metros;2024;Nacional Adulto;Rodrigo Cárdenas
Adulto Masculino;Lanzamiento de disco;47.05 metros;2024;Nacional Adulto;Camilo Rojas
Adulto Masculino;Lanzamiento de disco;46.01 metros;2024;Nacional Adulto;Nicolás Acuña
Adulto Masculino;Lanzamiento de disco;41.56 metros;2024;Nacional Adulto;Cesar Arias
Adulto Masculino;Lanzamiento de disco;40.84 metros;2024;Nacional Adulto;Giovanni Leiva
Adulto Masculino;Lanzamiento de disco;39.84 metros;2024;Nacional Adulto;Mauricio Hidalgo
Adulto Masculino;Lanzamiento de martillo;73.72 metros;2024;Nacional Adulto;Gabriel Kehr
Adulto Masculino;Lanzamiento de martillo;71.59 metros;2024;Nacional Adulto;Humberto Mansilla
Adulto Masculino;Lanzamiento de martillo;63.88 metros;2024;Nacional Adulto;Miguel Castro
Adulto Masculino;Lanzamiento de martillo;63.44 metros;2024;Nacional Adulto;Daniel Leal
Adulto Masculino;Lanzamiento de martillo;45.94 metros;2024;Nacional Adulto;Sebastian Montecinos
Adulto Masculino;Lanzamiento de martillo;45.40 metros;2024;Nacional Adulto;Eduardo Mera
Adulto Masculino;Lanzamiento de martillo;40.39 metros;2024;Nacional Adulto;Diego Diaz
Adulto Masculino;Lanzamiento de jabalina;67.10 metros;2025;Nacional Adulto;Francisco Muse
Adulto Masculino;Lanzamiento de jabalina;66.24 metros;2025;Nacional Adulto;Renato Bartet
Adulto Masculino;Lanzamiento de jabalina;59.74 metros;2025;Nacional Adulto;Pablo Frutos
Adulto Masculino;Lanzamiento de jabalina;53.38 metros;2025;Nacional Adulto;Boris Flandez
Adulto Masculino;Lanzamiento de jabalina;53.12 metros;2025;Nacional Adulto;Joaquin Flore
Adulto Masculino;Lanzamiento de jabalina;45.11 metros;2025;Nacional Adulto;Martin Vannejool
Adulto Masculino;Lanzamiento de jabalina;35.49 metros;2025;Nacional Adulto;Benjamin Jaramillo
Adulto Masculino;Lanzamiento de bala;16.42 metros;2025;Nacional Adulto;Joaquin Ballivian
Adulto Masculino;Lanzamiento de bala;16.25 metros;2025;Nacional Adulto;Matias Navarrete
Adulto Masculino;Lanzamiento de bala;16.09 metros;2025;Nacional Adulto;Rodrigo Cardenas
Adulto Masculino;Lanzamiento de bala;15.18 metros;2025;Nacional Adulto;Pablo Orellana
Adulto Masculino;Lanzamiento de bala;14.35 metros;2025;Nacional Adulto;Oscar Avendaño
Adulto Masculino;Lanzamiento de bala;13.34 metros;2025;Nacional Adulto;Nicolas Acuña
Adulto Masculino;Lanzamiento de bala;13.13 metros;2025;Nacional Adulto;Felipe de La Maza
Adulto Masculino;Lanzamiento de bala;12.22 metros;2025;Nacional Adulto;Claudio Romero
Adulto Masculino;Lanzamiento de disco;63.11 metros;2025;Nacional Adulto;Lucas Nervi
Adulto Masculino;Lanzamiento de disco;60.00 metros;2025;Nacional Adulto;Rodrigo Cardenas
Adulto Masculino;Lanzamiento de disco;55.34 metros;2025;Nacional Adulto;Camilo Rojas
Adulto Masculino;Lanzamiento de disco;51.22 metros;2025;Nacional Adulto;Felipe de La Maza
Adulto Masculino;Lanzamiento de disco;48.02 metros;2025;Nacional Adulto;Nicolas Acuña
Adulto Masculino;Lanzamiento de disco;45.72 metros;2025;Nacional Adulto;Pablo Orellana
Adulto Masculino;Lanzamiento de disco;43.26 metros;2025;Nacional Adulto;Damian Hernandez
Adulto Masculino;Lanzamiento de disco;42.81 metros;2025;Nacional Adulto;Vicente Contreras
Adulto Masculino;Lanzamiento de martillo;75.88 metros;2025;Nacional Adulto;Humberto Mansilla
Adulto Masculino;Lanzamiento de martillo;74.01 metros;2025;Nacional Adulto;Gabriel Kehr
Adulto Masculino;Lanzamiento de martillo;65.68 metros;2025;Nacional Adulto;Miguel Castro
Adulto Masculino;Lanzamiento de martillo;62.61 metros;2025;Nacional Adulto;Cipriano Riquelme
Adulto Masculino;Lanzamiento de martillo;58.16 metros;2025;Nacional Adulto;Daniel Leal
Adulto Masculino;Lanzamiento de martillo;38.33 metros;2025;Nacional Adulto;Nicolas Acuña
Adulto Masculino;Lanzamiento de martillo;38.21 metros;2025;Nacional Adulto;Diego Diaz
